     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 12:55:42     -176.283585       2.2455       0.0000       0.1000       1.0000
Sella   1 12:55:59     -176.738663       1.7271       0.0000       0.1000       1.0985
Sella   2 12:56:16     -176.974594       1.6994       0.0000       0.1000       1.0405
Sella   3 12:56:33     -177.243790       1.9287       0.0000       0.1000       1.4990
Sella   4 12:56:50     -177.506866       1.3800       0.0000       0.1000       0.9113
Sella   5 12:57:07     -177.706589       0.7072       0.0000       0.1000       0.9062
Sella   6 12:57:24     -177.803680       0.7799       0.0000       0.1000       0.7858
Sella   7 12:57:40     -177.870850       0.8544       0.0000       0.1000       0.8789
Sella   8 12:57:57     -177.899094       0.5470       0.0000       0.1000       0.4409
Sella   9 12:58:14     -177.924881       0.4975       0.0000       0.1000       0.6935
Sella  10 12:58:31     -177.956039       0.2870       0.0000       0.1000       1.2617
Sella  11 12:58:48     -177.969452       0.2307       0.0000       0.1000       0.7990
Sella  12 12:59:04     -177.962799       0.4440       0.0000       0.0650      -0.4065
Sella  13 12:59:21     -177.979309       0.1753       0.0000       0.0650       0.8177
Sella  14 12:59:38     -177.967651       0.2606       0.0000       0.0389      -2.8610
Sella  15 12:59:55     -177.967087       0.0858       0.0000       0.0209      -0.3026
